Work Item Type,Title,Tags
User Story,Create Azure DevOps organization and project structure,operational
User Story,Migrate SPA 1 source repo to Azure Repos preserving history (mirror push),operational
User Story,Migrate SPA 2 source repo to Azure Repos preserving history (mirror push),operational
User Story,Migrate Express API source repo to Azure Repos preserving history (mirror push),operational
User Story,Create/migrate an infra-as-code repo for Azure resources and environments,operational;security;cost
User Story,Implement branch policies (reviewers/build validation/required checks),security;operational
User Story,Implement az cli for SPA1,operational
User Story,Implement az cli for SPA2,operational
User Story,Implement az cli for express api,operational
User Story,Implement az cli for mysql db,operational
User Story,Implement az cli for monitoring,operational
User Story,Implement az cli for storage,operational
User Story,Implement az cli for frontdoor,operational
User Story,Create Azure DevOps pipeline for SPA 1 build (install/test/build artifacts),operational
User Story,Deploy SPA 1 to chosen Azure host (Static Web Apps or App Service),operational;performance
User Story,Create Azure DevOps pipeline for SPA 2 build (install/test/build artifacts),operational
User Story,Deploy SPA 2 to chosen Azure host (Static Web Apps or App Service),operational;performance
User Story,Create Azure DevOps pipeline for Express API build (lint/test/package or container build),operational
User Story,Deploy Express API to chosen Azure host with environment variables and health checks,operational;performance;resilience
User Story,Execute MySQL migration (dump/restore or DMS/replication cutover) and validate,resilience;operational
User Story,Update API to use Azure MySQL endpoint + credentials,operational
User Story,Create storage account(s) and blob containers for documents,security;cost;resilience
User Story,Define blob naming/path conventions and metadata mapping from S3 keys,operational
User Story,Copy documents from S3 to Blob and validate object count/checksums,operational;resilience
User Story,Document current AWS architecture and dependencies (SPAs/API/MySQL/S3/DNS/certs),operational
User Story,Capture the 4 custom domains and their current DNS records + certificate source,security;operational
User Story,Identify all S3 API usage patterns (uploads/downloads/presigned URLs/metadata/lifecycle),operational;security
User Story,Confirm RDS MySQL version/size/HA/backups/maintenance and migration constraints,operational;resilience;performance;cost
User Story,Define subscriptions/resource groups per environment and ownership model,operational;security;cost
User Story,Define naming conventions and mandatory tags for resources,operational;cost
User Story,Define least-privilege RBAC roles for devops/app/support,security;operational
User Story,Decide public endpoints vs VNet/private endpoints for MySQL/Storage,security;performance;resilience
User Story,Move secrets to Key Vault and integrate with ADO variable groups,security;operational
User Story,Create Azure Database for MySQL Flexible Server with sizing/HA/backups,performance;resilience;cost
User Story,Configure firewall/private endpoint/TLS requirements for Azure MySQL,security;resilience
User Story,Replace AWS S3 SDK usage in Express API with Azure Blob SDK equivalents,operational;performance
User Story,Implement SAS token issuance pattern equivalent to S3 presigned URLs,security
User Story,Configure and test Express API,operational
User Story,Configure and test SPA1,operational
User Story,Configure and test SPA2,operational
User Story,Review how documents are referenced in db,operational
User Story,Update document reference in db if required,operational
User Story,Configure custom domain + HTTPS for SPA 1 in Azure and update DNS,security;operational
User Story,Configure custom domain + HTTPS for SPA 2 in Azure and update DNS,security;operational
User Story,Configure custom domain + HTTPS for API in Azure and update DNS,security;operational
User Story,Expose Blob documents via custom domain (often via Front Door) and update DNS,security;performance;operational
User Story,Use managed identity for API to access Blob,security
User Story,Use managed identity for API to access mysql,security
User Story,Use managed identity other services review,security
User Story,Store secrets/certs as needed and reference from apps/pipelines,security;operational
User Story,Disable public access if possible; use RBAC and scoped SAS,security
User Story,Add rate limiting/headers/HTTPS-only and consider API gateway/WAF where required,security;resilience;performance
User Story,Test restore process for Azure MySQL and document RPO/RTO,resilience;operational
User Story,Choose LRS/ZRS/GRS for storage and validate meets RPO/RTO,resilience;cost
User Story,Enable Application Insights and structured logging for the API,operational
User Story,Enable diagnostic settings to Log Analytics for App Service/Storage/MySQL,operational
User Story,Set alerts for availability/latency/errors and define SLO targets,operational;resilience
User Story,Create budgets/alerts and enforce tagging for cost allocation,cost;operational
User Story,Implement monitoring for SPA1,operational
User Story,Implement monitoring for SPA2,operational
User Story,Setup FrontDoor,security
User Story,Implement FrontDoor for SPA1,security
User Story,Implement FrontDoor for SPA2,security
User Story,Implement FrontDoor for Express API,security
User Story,Implement API Management to expose APIs,security;operational
User Story,Implement  bicep for SPA1,operational
User Story,Implement  bicep for SPA2,operational
User Story,Implement  bicep for express api,operational
User Story,Implement  bicep for mysql db,operational
User Story,Implement  bicep for monitoring,operational
User Story,Implement  bicep for storage,operational
User Story,Implement  bicep for frontdoor,operational
User Story,Implement Entra ID for priviledged operations ,security
User Story,Define DNS cutover plan with TTL reduction monitoring window and rollback criteria,operational;resilience
